User_ID,Tweets_Count
895411852947140609,1
1242770449043460097,1
941291613782990848,1
500497454,1
872128933583613953,1
226760417,1
190212530,1
1104446838965485568,1
3063163497,1
925094390,1
1011462638755368960,1
1248527056377270273,2
1016249698791886849,1
4891010777,1
880900842,1
1111123245917306880,2
590976497,1
1111419776428060672,4
126789562,1
1205381654,1
1124685231632654336,1
1165071302,1
3421948689,2
1021407591694520320,1
3094199596,1
1127638715378151429,1
3160403260,1
1311031484,1
2855285147,1
195515224,1
1224478342839185413,1
761521174790545408,1
868100940368195584,1
1235984121303834624,1
1245445592563802113,1
1245784917293912065,5
44861089,1
1247865007804542976,2
1188198106178949126,1
150971723,2
1235206734270128131,1
797050281099980800,1
26194884,3
1243814316043907072,1
1217711059361882112,1
845688317236690949,1
839489602696118274,1
1241303802134687744,1
809955587740024832,1
1202730392048021504,1
1495615453,1
993195557408706561,1
932385678087798784,1
1232256336492187648,1
1234711775339147266,1
140137313,1
48637827,1
1009294308761931776,1
100730292,2
997524213417291777,1
17546887,1
1072796579268984832,1
3290284765,1
1078988430246215680,1
115147161,1
1217414491278729218,1
1027573568542924801,1
1254051773721051136,1
1112893539220951040,2
780314095572713473,1
898840196673875969,1
810662350546079744,1
277082462,1
127592389,2
1023998564,1
2930473138,1
1226567998254829574,1
1243496829100032006,1
2618004020,1
987051221566525440,1
1199218040690401280,1
135857075,1
306919662,1
101217277,1
707248952454807555,1
1243375218040733697,1
884170823703171073,1
756331316,1
1244346815539011584,1
355678776,1
752179549509562368,1
4026228153,1
2892815716,1
3302445038,1
1104929640764899328,1
1177225769715716096,1
55105249,1
233093237,1
29184298,2
1223500497820086273,1
286124725,1
916305113630814213,2
1249271329229955073,1
919183698750210048,1
1210025456373661696,1
620943265,1
54306197,1
2938557790,1
757848352654446592,1
1249651917787103232,1
168510376,2
122152569,1
352942466,1
4041690803,1
1155911283134386177,1
1053252720562450432,1
1248105751291269126,1
985056684,2
545110987,2
953981024962338816,1
778240903936872449,1
1137797617,1
1062218969686274048,1
54539690,2
891728226690756610,1
48304645,1
1240609418514841600,1
866994422797537280,1
1629693698,1
3169180235,1
898077268894986240,3
1109043721,1
1216295829792677888,1
1191083775175909376,1
3931215560,1
23664529,1
1153858814006841345,1
2437957884,2
975827410536017920,1
2974826846,1
856793990,1
1186464539539365890,1
3188629370,1
779710914618544128,1
1233689070896848898,1
1070674975848157188,1
1329243954,1
1167337740,1
164924856,2
3304399752,1
1187715747159646210,2
769188608079171584,1
704200621621006337,1
2300353356,1
968082488970170368,1
240783621,1
92496855,1
1119112959991500800,1
358696747,1
278598058,1
922092466920214529,1
1352386830,2
705164500,1
1237684015949365248,1
1173277297857613824,1
1074637112115376129,1
886276517919117312,1
221406461,1
1047618233656860672,1
343503327,1
1140714864492630016,4
927226984685547526,1
1423313024,1
358846292,1
1162119619416600577,1
75235978,2
1656579938,1
2895890295,1
1124389545628319747,1
1710251209,1
1248076591223074816,1
94678677,1
1036270573138141187,7
945996672852733952,1
1022208186818981890,1
1254014068765200386,1
1058417246840766465,1
1220404422733443072,1
3608192061,1
589560026,1
577297366,1
1161629835162054657,1
977355020625764353,2
1277967480,1
771194364341067776,1
1243918313710923781,1
423694327,1
383617387,1
906487716262670336,1
152023235,1
1120696962477588485,1
71898701,3
835011758112837633,1
58285183,1
887540893070356481,1
1087176736343842816,1
3122075209,1
1054734291605864449,4
14296237,1
1157469231488913409,1
320098759,1
1213985581539028993,1
1242939976779812871,1
146299154,1
921011255678189568,2
54510927,1
636463200,1
853405850,2
845295452601925632,1
157055904,2
1390259042,1
1035037290148425728,1
1122501191152361472,1
1149175793089572864,1
4176776292,1
1102465443481104385,1
819240612704780288,1
2959513160,1
567603245,1
1236615039383220228,1
1044899891632205824,1
1248111043273838593,1
74708289,1
1232212996576960512,1
31537951,1
319595840,1
1206584695577890825,1
1242851563577769986,1
1037659386171346945,1
23060314,1
1243600726166835204,1
1419849799,1
2873383695,1
1182223288736464897,1
157418000,1
1242546721558679552,1
473759426,1
2440058869,1
272626019,1
2237539798,1
1250701247780282371,3
218587366,1
21103101,1
76287634,1
723274154523373568,1
1251045255949897729,2
256925672,1
835336942157848576,1
1061918063556284422,1
45311390,1
377401219,1
150375697,1
1108554845181505536,1
1040891406519349248,1
916439806007234561,1
1071126254823313408,3
235603132,1
1143537947775557633,1
770230368,1
844974649628905472,1
65130374,1
200006266,1
441777937,1
844023485320085504,1
34453562,1
1253138358949212161,1
522539842,1
18975658,1
787022701990912000,1
1139605388100349953,1
1074008330773950466,3
1229717839940026368,1
1251232213494050820,1
1115573991660503040,1
853933437174124544,1
2902821,3
292012475,1
1211295501863153664,4
1086147583079256064,1
4098830355,1
3294017938,1
344765490,1
191133440,1
97381421,1
